Date,Device Category,Sessions
2016-02-29,desktop,3666766
2016-03-01,desktop,3377048
2016-03-02,desktop,2903175
2016-03-03,desktop,2426878
2016-03-04,desktop,1724450
2016-03-05,desktop,632645
2016-03-06,desktop,848802
2016-03-07,desktop,2022340
2016-03-08,desktop,2094721
2016-03-09,desktop,2087595
2016-03-10,desktop,2031562
2016-03-11,desktop,1679034
2016-03-12,desktop,594139
2016-03-13,desktop,630615
2016-03-14,desktop,2294021
2016-03-15,desktop,2186684
2016-03-16,desktop,2145578
2016-03-17,desktop,2220028
2016-03-18,desktop,1725439
2016-03-19,desktop,652452
2016-03-20,desktop,775911
2016-03-21,desktop,2302523
2016-03-22,desktop,2281231
2016-03-23,desktop,2076351
2016-03-24,desktop,1790807
2016-03-25,desktop,1590706
2016-03-26,desktop,556444
2016-03-27,desktop,620799
2016-03-28,desktop,1748876
2016-03-29,desktop,2073461
2016-03-30,desktop,2452525
2016-03-31,desktop,1917045
2016-04-01,desktop,1701758
2016-04-02,desktop,750744
2016-04-03,desktop,726661
2016-04-04,desktop,2330248
2016-04-05,desktop,2294232
2016-04-06,desktop,2212712
2016-04-07,desktop,1994843
2016-04-08,desktop,1653879
2016-04-09,desktop,802204
2016-04-10,desktop,847309
2016-04-11,desktop,2388875
2016-04-12,desktop,2737831
2016-04-13,desktop,2257717
2016-04-14,desktop,2190547
2016-04-15,desktop,1985635
2016-04-16,desktop,847876
2016-04-17,desktop,905511
2016-04-18,desktop,2736404
2016-04-19,desktop,2374660
2016-04-20,desktop,2560540
2016-04-21,desktop,2131083
2016-04-22,desktop,1958413
2016-04-23,desktop,791444
2016-04-24,desktop,861776
2016-04-25,desktop,2428122
2016-04-26,desktop,2674632
2016-04-27,desktop,2681637
2016-04-28,desktop,2585636
2016-04-29,desktop,2046290
2016-04-30,desktop,875386
2016-05-01,desktop,874300
2016-05-02,desktop,2776157
2016-05-03,desktop,2582049
2016-05-04,desktop,3781604
2016-05-05,desktop,2461624
2016-05-06,desktop,1726437
2016-05-07,desktop,789713
2016-05-08,desktop,708238
2016-05-09,desktop,2430090
2016-05-10,desktop,2193244
2016-05-11,desktop,2400331
2016-05-12,desktop,1987371
2016-05-13,desktop,1848785
2016-05-14,desktop,690561
2016-05-15,desktop,867994
2016-05-16,desktop,2172201
2016-05-17,desktop,2182376
2016-05-18,desktop,2149403
2016-05-19,desktop,2222667
2016-05-20,desktop,1724772
2016-05-21,desktop,802964
2016-05-22,desktop,739822
2016-05-23,desktop,2222397
2016-05-24,desktop,2172846
2016-05-25,desktop,2307738
2016-05-26,desktop,1966367
2016-05-27,desktop,1429366
2016-05-28,desktop,551856
2016-05-29,desktop,847399
2016-05-30,desktop,912805
2016-05-31,desktop,2329105
2016-06-01,desktop,2301771
2016-06-02,desktop,1799141
2016-06-03,desktop,1571669
2016-06-04,desktop,705084
2016-06-05,desktop,828575
2016-06-06,desktop,2195116
2016-06-07,desktop,2201248
2016-06-08,desktop,2098840
2016-06-09,desktop,1957532
2016-06-10,desktop,1616143
2016-06-11,desktop,685759
2016-06-12,desktop,803840
2016-06-13,desktop,2037016
2016-06-14,desktop,2050975
2016-06-15,desktop,1866087
2016-06-16,desktop,1829276
2016-06-17,desktop,1673082
2016-06-18,desktop,693528
2016-06-19,desktop,827162
2016-06-20,desktop,2084667
2016-06-21,desktop,2251530
2016-06-22,desktop,2240365
2016-06-23,desktop,2059202
2016-06-24,desktop,1889568
2016-06-25,desktop,689220
2016-06-26,desktop,840407
2016-06-27,desktop,2269597
2016-06-28,desktop,2338376
2016-06-29,desktop,2293532
2016-06-30,desktop,2091999
2016-07-01,desktop,1730721
2016-07-02,desktop,707822
2016-07-03,desktop,819412
2016-07-04,desktop,807097
2016-07-05,desktop,1999359
2016-07-06,desktop,2115161
2016-07-07,desktop,2027937
2016-07-08,desktop,1747089
2016-07-09,desktop,866931
2016-07-10,desktop,788523
2016-07-11,desktop,2145125
2016-07-12,desktop,2064520
2016-07-13,desktop,1968498
